id;address_1;address_2;city;postcode;country
1;mindshare Interactions Versatile;Frozen Rubber line;Ricardobury;Sports wit;Si
2;Customer Cambridgeshire end-to-end;web-readiness copy;Chadrickshire;purple Cre;Ar
3;Table invoice;Berkshire Designer the;Haleyhaven;policy;Ki
4;Pizza;interactive;Hintzview;orchid Leo;De
5;Sausages ubiquitous Avon;Account Assimilated optical;East Gerdaport;USB;Cy
6;Neck quantifying object-oriented;azure optical Fresh;Wehnermouth;blue invoi;Sa
7;relationships deposit clicks-and-mortar;out-of-the-box payment calculating;O'Konstad;boliviano;Af
8;Identity;Architect;West Braxtonfurt;Account;Ne
9;Dynamic Pound;firewall;East Roslyn;Grass-root;My
10;Computer;open-source Montana;West America;compressin;Ur
